Student_ID,Age,Gender,Department,CGPA,Attendance,Python_Skill,Java_Skill,DSA_Skill,Projects,Internships,Communication_Score,Aptitude_Score,Placement,Salary_LPA
74,20,Male,Information Technology,9.38,79.1,7,7,8,1,3,99,100,Yes,4.55
75,19,Male,Data Science,6.48,69.0,10,6,5,4,0,96,85,Yes,3.53
76,20,Male,Data Science,5.93,85.6,5,2,10,2,0,42,61,No,0.0
77,22,Female,Electronics,5.61,99.2,8,9,9,1,0,93,64,No,0.0
78,22,Male,Data Science,8.39,84.1,2,6,10,0,1,94,100,Yes,6.07
79,21,Female,Data Science,8.23,74.3,9,8,5,0,0,53,57,Yes,7.89
80,22,Male,Electronics,7.96,85.9,6,1,1,4,2,97,45,Yes,9.41
81,21,Male,Computer Science,6.54,64.9,9,5,9,2,3,64,57,Yes,4.9
82,22,Male,Electronics,7.26,95.5,2,1,5,1,1,54,91,No,0.0
83,19,Male,Computer Science,8.18,80.1,3,10,6,1,3,41,55,Yes,9.34
84,22,Female,Information Technology,7.74,78.0,8,8,4,0,0,63,54,No,0.0
85,21,Female,Computer Science,9.95,83.4,1,8,6,4,1,53,87,Yes,11.13
86,21,Male,Computer Science,6.11,85.0,10,1,8,0,2,87,47,No,0.0
87,20,Male,Information Technology,8.63,62.9,7,9,3,0,0,46,52,No,0.0
88,19,Female,Computer Science,7.32,87.3,7,2,5,4,3,75,94,Yes,6.86
89,22,Female,Electronics,7.43,69.7,1,9,2,2,2,89,82,No,0.0
90,20,Female,Computer Science,8.73,88.6,9,1,2,1,0,63,99,Yes,8.1
91,22,Female,Information Technology,8.62,92.9,8,10,7,2,2,66,100,Yes,6.59
92,22,Male,Electronics,9.96,92.2,4,9,10,3,0,76,96,Yes,5.56
93,20,Female,Information Technology,6.08,82.1,10,4,10,3,1,77,46,Yes,4.53
94,20,Male,Information Technology,5.97,80.8,5,9,10,3,0,69,56,No,0.0
95,20,Female,Data Science,8.76,65.7,2,7,6,4,1,66,89,Yes,8.47
96,20,Female,Data Science,8.1,91.0,9,6,4,0,0,78,71,Yes,8.18
97,20,Female,Information Technology,6.73,70.9,6,5,5,2,0,54,61,No,0.0
98,22,Female,Information Technology,5.86,79.9,3,9,1,1,3,65,94,No,0.0
99,20,Female,Information Technology,5.89,71.4,7,2,7,3,2,40,90,No,0.0
100,19,Male,Data Science,9.52,65.4,9,2,8,2,2,95,96,Yes,3.11
101,21,Male,Data Science,6.36,85.2,3,9,9,3,2,43,52,No,0.0
102,20,Female,Computer Science,6.96,62.2,2,3,8,3,0,68,86,No,0.0
103,20,Female,Computer Science,6.52,89.9,7,8,5,1,0,96,62,No,0.0
104,22,Male,Information Technology,7.1,72.7,7,9,3,4,0,40,93,No,0.0
105,20,Female,Electronics,5.81,60.0,4,8,10,0,1,82,68,No,0.0
106,20,Female,Electronics,7.84,80.4,9,4,9,4,1,89,61,Yes,6.93
107,20,Male,Data Science,5.8,61.9,8,1,6,2,3,85,40,No,0.0
108,22,Female,Data Science,9.1,71.0,1,4,5,4,0,61,68,Yes,10.51
109,20,Female,Data Science,6.55,88.3,1,9,3,2,2,50,87,No,0.0
110,21,Male,Information Technology,7.93,62.5,5,2,6,2,2,49,44,No,0.0
111,22,Male,Electronics,9.46,93.6,6,3,3,0,3,98,97,Yes,10.5
112,21,Male,Computer Science,8.43,60.2,3,10,10,1,2,56,74,Yes,6.13
113,22,Female,Information Technology,7.9,69.9,9,8,6,0,3,75,94,Yes,11.03
114,20,Male,Computer Science,6.96,89.6,10,6,4,4,0,95,49,Yes,7.23
115,21,Male,Computer Science,7.0,72.7,6,8,2,2,2,86,58,No,0.0
116,22,Male,Information Technology,8.51,64.1,4,7,8,3,0,65,76,Yes,12.0
117,19,Male,Computer Science,9.97,74.4,7,5,4,3,1,87,46,Yes,10.59
118,20,Male,Electronics,8.48,70.8,8,9,9,2,2,60,85,Yes,6.26
119,22,Male,Computer Science,8.01,93.7,9,4,7,0,1,52,74,Yes,3.09
120,19,Female,Electronics,8.79,72.5,6,6,2,1,2,48,84,Yes,8.64
121,22,Female,Electronics,7.59,91.6,6,2,4,0,0,50,52,No,0.0
122,19,Male,Electronics,5.77,95.7,8,2,5,2,3,50,49,No,0.0
123,20,Male,Data Science,8.03,77.4,5,2,3,2,0,45,41,No,0.0
124,21,Male,Computer Science,9.81,96.4,3,10,9,1,0,40,45,Yes,10.77
125,19,Female,Information Technology,6.29,75.1,3,7,5,4,0,93,47,No,0.0
126,22,Female,Information Technology,8.61,98.6,6,2,2,4,2,45,75,Yes,3.57
127,20,Female,Computer Science,6.4,63.6,2,2,3,1,3,52,64,No,0.0
128,19,Female,Data Science,7.91,87.5,6,9,9,4,1,61,83,Yes,9.2
129,22,Female,Data Science,5.94,79.8,6,7,7,3,0,95,99,No,0.0
130,22,Female,Electronics,7.53,75.5,8,3,2,4,2,70,86,Yes,7.84
131,22,Female,Computer Science,8.9,85.3,7,3,9,4,1,61,79,Yes,7.22
132,19,Female,Computer Science,7.06,88.2,8,7,4,4,0,76,46,Yes,5.64
133,19,Female,Information Technology,8.49,60.2,9,5,9,3,1,86,85,Yes,5.5
134,19,Male,Computer Science,9.08,66.7,6,10,2,4,0,66,62,Yes,7.5
135,21,Male,Data Science,9.67,88.5,3,6,10,3,1,89,58,Yes,4.45
136,19,Male,Computer Science,6.56,86.7,10,8,4,1,1,91,85,Yes,6.07
137,19,Male,Information Technology,7.3,98.6,3,9,5,0,3,53,61,Yes,5.92
138,19,Female,Electronics,6.19,90.4,1,1,2,1,3,86,52,No,0.0
139,21,Female,Information Technology,9.97,98.0,5,3,10,0,0,97,100,Yes,3.6
140,19,Male,Information Technology,9.67,88.1,4,7,1,1,2,44,60,Yes,10.47
141,22,Female,Electronics,7.93,71.9,9,6,7,0,3,97,40,Yes,8.06
142,19,Male,Information Technology,9.29,64.2,9,7,10,0,1,75,98,Yes,9.04
143,22,Female,Information Technology,7.84,91.3,5,8,1,2,3,71,58,Yes,9.33
144,22,Male,Computer Science,8.31,85.8,10,6,8,0,3,73,100,Yes,5.62
145,22,Female,Computer Science,5.9,61.9,4,3,3,0,0,46,99,No,0.0
146,21,Female,Electronics,8.9,74.4,7,2,10,2,3,81,72,Yes,11.61
147,21,Male,Computer Science,6.07,98.3,6,7,6,4,3,87,43,Yes,9.9
148,21,Female,Computer Science,9.22,80.0,4,1,7,4,1,49,81,Yes,11.73
149,19,Male,Information Technology,9.02,77.3,10,3,10,2,3,89,42,Yes,9.72
150,22,Male,Data Science,8.69,78.3,2,4,1,3,1,56,66,No,0.0
151,21,Male,Computer Science,5.66,68.4,1,1,6,0,3,69,91,No,0.0
152,21,Male,Data Science,6.86,74.7,4,5,7,0,3,60,80,No,0.0
153,19,Female,Computer Science,6.68,74.8,4,10,6,2,2,99,74,Yes,6.22
154,21,Female,Computer Science,7.12,62.1,1,3,4,2,3,52,67,No,0.0
155,19,Female,Electronics,5.89,90.7,6,2,1,3,1,40,45,No,0.0
156,20,Male,Electronics,9.72,76.7,4,3,9,4,1,40,45,Yes,6.3
157,21,Female,Electronics,7.99,92.9,1,8,4,1,0,86,94,No,0.0
158,20,Male,Data Science,6.87,94.0,1,6,7,4,0,72,96,No,0.0
159,19,Female,Information Technology,7.29,68.5,1,7,7,0,2,77,83,No,0.0
160,22,Female,Computer Science,7.51,86.3,8,6,2,2,1,64,62,No,0.0
161,21,Female,Computer Science,8.2,78.9,10,6,1,3,1,65,72,Yes,10.49
162,19,Male,Computer Science,7.82,95.2,8,3,8,4,1,52,55,Yes,10.66
163,22,Female,Data Science,9.64,68.6,2,8,8,3,2,98,63,Yes,6.82
164,22,Female,Electronics,7.74,87.1,7,7,7,4,1,67,44,Yes,3.6
165,20,Male,Information Technology,9.96,84.3,8,7,8,0,0,72,80,Yes,3.01
166,19,Female,Data Science,9.33,71.8,8,6,3,1,2,76,81,Yes,7.71
167,22,Male,Electronics,6.44,65.5,10,5,2,3,0,80,52,No,0.0
168,21,Female,Data Science,9.69,86.1,7,10,7,3,0,69,86,Yes,11.97
169,21,Male,Information Technology,6.02,89.5,5,8,8,1,2,96,51,No,0.0
170,20,Male,Electronics,9.18,72.6,1,5,1,3,3,88,44,Yes,9.85
171,22,Female,Data Science,7.21,85.8,9,9,10,3,3,87,76,Yes,11.6
172,19,Male,Information Technology,9.45,75.8,7,9,9,4,0,47,70,Yes,10.99
173,21,Male,Computer Science,9.41,88.5,2,1,4,4,3,88,67,Yes,5.86
174,22,Male,Information Technology,9.13,68.0,6,6,4,1,1,86,67,Yes,4.49
175,22,Male,Computer Science,9.06,95.6,2,7,3,0,2,95,69,Yes,9.71
176,20,Male,Data Science,6.87,71.5,1,3,6,3,0,40,57,No,0.0
177,21,Male,Electronics,5.86,74.7,7,7,1,0,1,51,83,No,0.0
178,21,Female,Electronics,7.31,62.3,2,7,6,1,3,44,66,No,0.0
179,19,Male,Data Science,6.28,64.5,2,2,2,1,1,63,74,No,0.0
180,21,Male,Electronics,8.63,80.6,5,7,9,4,3,45,65,Yes,6.77
181,19,Female,Electronics,7.06,70.7,5,1,2,3,0,64,96,No,0.0
182,21,Female,Computer Science,9.89,93.4,7,5,7,2,1,40,78,Yes,5.42
183,20,Female,Data Science,8.38,60.6,1,9,1,1,2,64,88,No,0.0
184,21,Female,Information Technology,9.2,75.2,8,7,7,3,0,40,90,Yes,3.01
185,19,Female,Computer Science,6.1,73.5,3,7,5,0,1,71,99,No,0.0
186,19,Female,Data Science,9.38,60.8,4,2,8,4,1,81,57,Yes,3.27
187,20,Female,Computer Science,9.65,65.0,9,8,4,0,3,81,72,Yes,9.41
188,21,Male,Information Technology,7.69,76.5,4,3,10,1,0,42,64,No,0.0
189,21,Male,Information Technology,8.23,79.7,10,8,7,1,0,88,95,Yes,5.4
190,20,Female,Data Science,8.94,76.2,5,3,6,0,0,58,70,No,0.0
191,21,Male,Information Technology,6.29,81.2,7,10,5,1,0,99,76,No,0.0
192,21,Male,Computer Science,7.76,83.8,4,7,4,3,3,82,98,Yes,4.73
193,19,Male,Information Technology,7.29,60.4,1,2,7,1,2,68,99,No,0.0
194,21,Female,Computer Science,6.16,78.6,9,4,5,4,0,89,41,No,0.0
195,21,Female,Computer Science,7.15,98.5,4,6,5,3,3,41,72,Yes,9.02
196,20,Male,Information Technology,5.81,80.8,9,9,1,2,2,48,78,No,0.0
197,20,Female,Data Science,5.62,87.1,6,5,2,1,2,95,100,No,0.0
198,22,Male,Electronics,6.11,72.5,1,9,5,1,3,56,82,No,0.0
199,19,Male,Information Technology,9.83,91.0,3,5,3,4,0,99,82,Yes,7.89
200,21,Male,Computer Science,7.97,90.9,2,10,2,4,2,85,71,Yes,5.34
201,21,Male,Computer Science,9.85,80.9,9,8,4,0,0,75,57,Yes,8.29
202,22,Female,Information Technology,7.45,99.0,1,1,4,0,0,100,56,No,0.0
203,21,Female,Data Science,6.9,65.0,9,7,4,0,1,56,73,No,0.0
204,19,Female,Data Science,7.78,60.7,9,4,4,4,0,88,78,Yes,5.79
205,22,Male,Computer Science,7.48,90.8,8,5,3,0,1,51,46,No,0.0
206,19,Female,Computer Science,5.98,92.3,8,6,7,0,2,99,81,No,0.0
207,22,Male,Data Science,8.38,64.8,1,5,9,2,3,59,93,Yes,11.07
208,22,Female,Electronics,6.47,70.6,8,1,5,0,1,89,92,No,0.0
209,20,Male,Information Technology,8.29,60.7,10,9,4,1,3,42,74,Yes,9.58
210,19,Male,Computer Science,8.43,71.7,3,2,2,4,2,82,69,Yes,11.26
211,21,Male,Computer Science,6.18,90.9,7,9,2,3,0,96,51,No,0.0
212,21,Female,Data Science,5.78,80.7,1,10,5,2,2,89,74,No,0.0
213,19,Female,Information Technology,9.01,73.9,1,2,7,4,3,43,50,Yes,4.78
214,21,Female,Data Science,7.57,74.9,10,9,10,4,2,56,100,Yes,10.59
215,21,Female,Information Technology,5.76,60.1,5,6,10,1,0,89,83,No,0.0
216,19,Male,Information Technology,9.98,72.0,5,9,9,0,2,76,96,Yes,9.69
217,22,Female,Information Technology,5.76,85.9,8,6,7,1,0,85,43,No,0.0
218,19,Female,Computer Science,8.63,99.0,7,6,5,0,1,81,64,Yes,9.83
219,22,Male,Electronics,9.93,93.9,8,2,10,0,3,54,87,Yes,7.79
220,21,Male,Data Science,6.58,60.9,6,8,10,4,0,72,71,Yes,8.75
221,21,Male,Electronics,6.14,95.9,6,3,10,0,0,55,59,No,0.0
222,21,Female,Data Science,6.05,91.3,2,7,6,2,2,50,89,No,0.0
223,20,Male,Information Technology,6.86,91.2,6,5,3,2,1,94,70,No,0.0
224,22,Male,Computer Science,5.95,78.3,5,3,5,2,0,59,43,No,0.0
225,20,Male,Electronics,8.61,75.9,3,1,8,4,1,77,93,Yes,11.68
226,20,Female,Computer Science,5.78,72.1,6,8,1,1,1,63,77,No,0.0
227,19,Male,Data Science,7.79,62.6,8,3,1,3,2,100,92,Yes,3.2
228,20,Female,Computer Science,9.99,69.1,9,2,7,0,0,93,86,Yes,3.5
229,19,Female,Computer Science,9.16,69.9,1,1,5,3,2,55,40,Yes,3.47
230,19,Male,Electronics,8.27,79.4,3,4,5,1,3,69,42,Yes,11.17
231,20,Male,Information Technology,6.88,89.9,3,8,1,1,3,73,76,No,0.0
232,22,Female,Computer Science,8.31,79.0,8,3,9,4,0,40,61,Yes,9.09
233,22,Male,Information Technology,7.87,62.3,1,1,1,2,1,63,56,No,0.0
234,22,Male,Data Science,7.42,98.3,5,4,5,2,0,63,53,No,0.0
235,22,Female,Computer Science,6.09,97.7,3,9,10,1,0,48,80,No,0.0
236,22,Female,Electronics,9.49,91.4,2,1,9,4,3,61,74,Yes,6.53
237,20,Male,Data Science,7.52,99.7,8,2,4,4,3,51,97,Yes,7.41
238,20,Female,Data Science,6.38,81.8,3,9,8,0,1,56,52,No,0.0
239,21,Male,Electronics,7.15,98.5,7,2,6,2,1,64,74,No,0.0
240,22,Male,Computer Science,7.36,63.0,1,3,3,1,0,67,82,No,0.0
241,20,Male,Computer Science,9.22,74.6,6,7,4,3,2,100,41,Yes,3.32
242,21,Female,Data Science,8.8,69.0,3,3,2,2,0,54,95,No,0.0
243,22,Male,Computer Science,8.96,67.8,8,9,1,0,1,69,86,Yes,9.88
244,19,Male,Information Technology,5.55,65.6,6,6,8,4,2,90,52,No,0.0
245,21,Male,Electronics,7.37,84.9,2,3,1,1,3,66,90,No,0.0
246,20,Female,Information Technology,7.67,91.3,6,9,1,2,1,61,93,Yes,3.78
247,19,Female,Computer Science,5.59,83.1,7,1,4,3,1,49,55,No,0.0
248,19,Female,Data Science,6.67,65.9,5,10,10,0,2,100,57,Yes,11.09
249,19,Female,Electronics,8.92,92.4,3,3,10,0,1,97,46,Yes,11.47
250,21,Female,Computer Science,6.12,85.4,4,1,6,2,1,70,84,No,0.0
251,20,Male,Computer Science,7.91,75.5,4,2,9,3,1,66,75,Yes,5.59
252,19,Female,Data Science,6.47,87.0,6,8,1,0,1,51,80,No,0.0
253,22,Female,Data Science,5.55,70.4,10,7,7,1,1,85,69,No,0.0
254,19,Female,Information Technology,6.59,73.8,1,2,10,0,1,70,81,No,0.0
255,19,Male,Electronics,9.89,96.7,4,2,5,3,1,71,80,Yes,3.2
256,21,Female,Electronics,9.11,71.6,10,9,8,4,1,71,46,Yes,10.82
257,21,Female,Data Science,9.82,78.8,4,6,7,4,3,80,54,Yes,7.99
258,20,Male,Information Technology,7.7,95.6,10,5,4,2,1,98,99,Yes,8.48
259,22,Female,Electronics,5.99,88.3,1,10,4,3,3,84,79,No,0.0
260,21,Male,Data Science,7.97,62.5,9,6,6,0,3,74,58,Yes,8.99
261,19,Male,Computer Science,7.54,65.9,4,9,6,0,0,92,82,No,0.0
262,20,Male,Electronics,9.3,60.3,7,7,9,4,0,100,76,Yes,10.08
263,19,Male,Information Technology,5.94,85.2,3,10,5,4,3,85,41,No,0.0
264,19,Male,Information Technology,7.7,77.9,10,10,8,1,3,60,81,Yes,6.24
265,21,Female,Information Technology,6.18,65.4,3,9,5,4,1,49,87,No,0.0
266,20,Male,Computer Science,6.96,98.3,8,4,2,1,0,55,94,No,0.0
267,22,Male,Electronics,8.82,81.2,8,2,6,0,2,46,52,Yes,10.96
268,22,Female,Electronics,7.64,69.7,1,8,9,1,0,43,79,No,0.0
269,21,Male,Computer Science,7.19,80.0,10,4,3,1,3,66,80,Yes,10.71
270,21,Female,Electronics,7.28,87.2,2,9,1,2,3,91,82,Yes,3.44
271,20,Female,Computer Science,7.57,63.0,8,4,1,4,1,94,82,Yes,4.34
272,22,Female,Computer Science,9.03,71.0,1,8,3,1,1,64,94,Yes,6.73
273,22,Male,Computer Science,9.51,92.3,8,9,10,0,0,70,97,Yes,7.35
274,22,Male,Information Technology,9.8,78.4,8,9,5,3,1,50,70,Yes,5.37
275,19,Male,Electronics,9.04,81.9,2,10,3,1,2,87,55,Yes,6.21
276,22,Female,Computer Science,6.92,77.3,4,4,9,4,2,59,81,Yes,4.46
277,19,Male,Electronics,8.6,61.8,6,1,8,2,1,75,100,Yes,7.4
278,20,Male,Information Technology,7.47,66.6,9,3,3,0,2,93,95,No,0.0
279,19,Male,Computer Science,6.65,77.8,8,9,9,2,2,93,83,Yes,8.95
280,20,Female,Data Science,9.28,68.4,8,4,6,3,0,94,96,Yes,3.97
281,22,Female,Information Technology,5.67,62.0,7,5,7,1,2,56,45,No,0.0
282,22,Male,Data Science,9.56,93.7,9,7,4,1,3,84,67,Yes,9.28
283,20,Male,Electronics,7.58,99.2,2,5,4,4,3,50,71,Yes,7.77
284,21,Male,Electronics,8.37,91.7,3,4,2,1,0,69,83,No,0.0
285,20,Male,Information Technology,8.47,94.2,10,2,5,0,1,74,49,Yes,8.6
286,21,Female,Electronics,9.53,69.7,8,2,8,3,0,80,89,Yes,11.72
287,19,Female,Data Science,8.37,98.4,6,4,7,2,1,77,57,Yes,3.85
288,19,Female,Computer Science,8.26,67.9,10,10,7,3,1,61,43,Yes,6.51
289,19,Female,Computer Science,5.8,98.1,9,10,6,1,1,92,48,No,0.0
290,22,Male,Computer Science,7.83,99.8,10,9,3,2,1,82,46,Yes,8.19
291,19,Male,Information Technology,6.18,88.5,4,8,5,4,1,87,89,No,0.0
292,21,Male,Electronics,8.82,99.2,8,3,1,3,0,90,47,Yes,4.59
293,19,Female,Data Science,7.8,82.8,10,9,7,2,1,66,82,Yes,5.57
294,20,Male,Electronics,8.56,70.4,3,5,9,2,2,76,46,Yes,11.6
295,20,Female,Electronics,5.69,77.5,3,3,1,2,2,85,80,No,0.0
296,22,Female,Electronics,5.88,83.7,8,5,2,0,1,88,79,No,0.0
297,20,Male,Computer Science,8.72,62.9,5,10,3,3,2,74,42,Yes,10.35
298,21,Male,Data Science,5.82,84.9,3,4,3,2,3,43,56,No,0.0
299,19,Male,Data Science,5.82,99.2,10,8,8,3,0,55,41,No,0.0
300,22,Female,Electronics,5.55,67.6,1,5,7,2,0,55,54,No,0.0
301,19,Male,Computer Science,9.8,91.7,3,10,6,4,1,60,85,Yes,6.02
302,19,Female,Computer Science,8.82,96.3,9,8,10,4,1,65,68,Yes,10.34
303,21,Male,Data Science,7.09,97.7,5,9,10,4,3,96,89,Yes,10.22
304,20,Female,Computer Science,6.83,98.4,10,4,4,1,1,75,87,Yes,10.61
305,20,Female,Computer Science,7.07,80.9,2,7,9,2,2,58,91,Yes,4.04
306,19,Male,Computer Science,8.99,99.1,7,2,1,1,3,97,61,Yes,11.72
307,22,Female,Information Technology,8.48,90.3,2,6,2,3,2,56,43,Yes,11.64
308,20,Female,Electronics,6.33,66.5,4,8,4,1,0,84,96,No,0.0
309,22,Male,Data Science,6.28,79.1,7,7,3,3,2,65,91,No,0.0
310,20,Female,Data Science,5.94,88.7,4,7,1,3,0,61,45,No,0.0
311,22,Male,Information Technology,8.47,69.9,7,8,5,3,2,94,77,Yes,11.94
312,21,Female,Electronics,8.94,85.6,7,7,7,1,0,97,65,Yes,8.07
313,22,Male,Data Science,6.69,86.7,1,5,2,2,1,95,50,No,0.0
314,21,Male,Computer Science,5.59,66.5,6,7,5,1,2,67,65,No,0.0
315,21,Female,Data Science,5.87,82.6,9,10,6,2,0,40,56,No,0.0
316,22,Female,Computer Science,9.86,90.9,2,3,7,2,2,83,63,Yes,8.98
317,21,Female,Information Technology,6.83,80.0,3,5,1,3,3,75,67,No,0.0
318,19,Female,Computer Science,8.96,60.5,10,7,7,1,1,82,74,Yes,11.69
319,21,Female,Data Science,8.31,60.4,5,9,4,2,0,76,70,Yes,9.15
320,20,Male,Data Science,7.22,74.3,9,2,8,4,3,41,52,Yes,10.13
321,22,Female,Data Science,6.43,97.0,4,4,4,2,2,56,93,No,0.0
322,19,Male,Information Technology,6.05,69.1,1,7,6,4,3,79,74,No,0.0
323,22,Male,Information Technology,8.27,85.4,4,1,9,1,2,77,55,Yes,7.39
324,20,Female,Electronics,8.99,68.9,6,2,5,1,1,60,54,Yes,5.83
325,20,Male,Data Science,8.4,72.9,5,9,4,1,3,100,82,Yes,4.82
326,20,Male,Computer Science,7.89,93.9,1,10,8,2,1,48,57,Yes,11.57
327,21,Male,Information Technology,5.69,89.2,4,7,9,0,0,52,86,No,0.0
328,21,Male,Data Science,9.86,63.8,6,10,4,2,2,50,76,Yes,4.57
329,22,Female,Data Science,9.09,77.1,10,7,3,2,2,100,87,Yes,4.79
330,22,Male,Information Technology,6.82,61.2,10,6,8,3,1,55,87,Yes,5.53
331,19,Female,Electronics,9.91,79.2,4,3,5,3,1,55,88,Yes,11.99
